file,xPath,yRaw_header,yName,stdYName
L249_S4_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S4_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S5_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S6_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S6_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S7_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S7_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S7_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S8_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S9_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S9_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L250_S1_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L250_S1_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Susceptibility,Real Susceptibility,Real Susceptibility
L250_S1_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Susceptibility,Imaginary Susceptibility,Imaginary Susceptibility
L250_S1_Huang_2015.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,Probability,Probability,
L250_S1_Huang_2015.xml,PROPERTIES/Electrical/ElectricConductivity/data,Natural Log of Conductivity (ln (S/m)),Natural log of conductivity,
L250_S2_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L250_S2_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Susceptibility,Real Susceptibility,Real Susceptibility
L250_S2_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Susceptibility,Imaginary Susceptibility,Imaginary Susceptibility
L250_S2_Huang_2015.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,Probability,Probability,
L250_S3_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity
L250_S3_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real Susceptibility,Real Susceptibility,Real Susceptibility
L250_S3_Huang_2015.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary Susceptibility,Imaginary Susceptibility,Imaginary Susceptibility
L250_S3_Huang_2015.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,Probability,Probability,
